config_id,cpu_model,cpu_sockets,cpu_cores_per_socket,ram_gb,disks,miran_price,selectel_price,selectel_currency,selectel_price_period,selectel_plan_id,selectel_match_score,selectel_stock_count,selectel_match_count,reg_cloud_price,reg_cloud_currency,reg_cloud_price_period,reg_cloud_plan_id,reg_cloud_match_score,reg_cloud_stock_count,reg_cloud_match_count,timeweb_price,timeweb_currency,timeweb_price_period,timeweb_plan_id,timeweb_match_score,timeweb_stock_count,timeweb_match_count
MIR-149,Intel Xeon Gold 6240R,2,24,384,2×1000 ГБ NVMe,61854.0,,,,,,,,,,,,,,,,,,,,,
MIR-150,Intel Xeon Gold 6240R,2,24,384,2×1000 ГБ NVMe + 2×2000 ГБ SSD,65880.0,,,,,,,,,,,,,,,,,,,,,
MIR-151,Intel Xeon Gold 6240R,2,24,384,2×8000 ГБ NVMe,87108.0,,,,,,,,90000.0,RUB,month,RD-55040,100.0,,1.0,,,,,,,
MIR-152,Silver 4516Y+,2,24,128,2×480 ГБ SSD + 2×2000 ГБ SSD,55754.0,,,,,,,,,,,,,,,,,,,,,
MIR-153,Silver 4516Y+,2,24,128,2×1000 ГБ NVMe,52780.0,,,,,,,,,,,,,,,,,,,,,
MIR-154,Silver 4516Y+,2,24,192,2×1000 ГБ NVMe,54656.0,,,,,,,,,,,,,,,,,,,,,
MIR-155,Silver 4516Y+,2,24,256,2×2000 ГБ NVMe,57706.0,,,,,,,,,,,,,,,,,,,,,
MIR-156,Silver 4516Y+,2,24,384,2×4000 ГБ NVMe,63440.0,,,,,,,,,,,,,,,,,,,,,
MIR-157,Silver 4516Y+,2,24,768,2×8000 ГБ NVMe,76128.0,,,,,,,,,,,,,,,,,,,,,
MIR-158,Gold 6526Y,2,16,256,2×2000 ГБ NVMe,80866.0,,,,,,,,,,,,,,,,,,,,,
MIR-159,Gold 6526Y,2,16,384,2×4000 ГБ NVMe,86620.0,,,,,,,,,,,,,,,,,,,,,
MIR-160,Gold 6526Y,2,16,768,2×8000 ГБ NVMe,99308.0,,,,,,,,,,,,,,,,,,,,,
MIR-161,Gold 6530,2,32,128,2×480 ГБ SSD + 2×2000 ГБ SSD,60878.0,,,,,,,,,,,,,,,,,,,,,
MIR-162,Gold 6530,2,32,192,2×1000 ГБ NVMe,59780.0,121240.0,RUB,month,PCL07-NVMe,100.0,3.0,1.0,,,,,,,,,,,,,,
MIR-163,Gold 6530,2,32,256,2×2000 ГБ NVMe,62830.0,,,,,,,,,,,,,,,,,,,,,
MIR-164,Gold 6530,2,32,384,2×4000 ГБ NVMe,68808.0,,,,,,,,,,,,,,,,,,,,,
MIR-165,Gold 6530,2,32,768,2×8000 ГБ NVMe,81374.0,,,,,,,,,,,,,,,,,,,,,
MIR-166,Gold 6538Y,2,32,128,2×2000 ГБ NVMe,116998.0,,,,,,,,,,,,,,,,,,,,,
